                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                              Generated by UCC v.2014.08f on 12 7 2015                              
ucc.exe -dir d:\Development\GitHub\Breakout\source\ -extfile JavaScript -outdir d:\Metriken\count_out_7\

                                    RESULTS FOR JavaScript FILES                                    

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
14,1,2,0,0,0,5,5,11,CODE,d:\Development\GitHub\Breakout\source\\boot.js
54,17,6,0,0,0,23,23,31,CODE,d:\Development\GitHub\Breakout\source\\easteregg.js
1070,207,150,17,0,0,561,561,713,CODE,d:\Development\GitHub\Breakout\source\\game.js
62,11,5,0,0,0,35,35,46,CODE,d:\Development\GitHub\Breakout\source\\level1.js
144,33,6,0,0,0,78,78,105,CODE,d:\Development\GitHub\Breakout\source\\level2.js
198,56,6,0,0,0,103,103,136,CODE,d:\Development\GitHub\Breakout\source\\level3.js
354,112,15,0,0,0,166,166,227,CODE,d:\Development\GitHub\Breakout\source\\leveleditor.js
90,12,1,0,0,0,60,60,77,CODE,d:\Development\GitHub\Breakout\source\\loadOwnLevel.js
911,236,48,3,0,0,492,492,627,CODE,d:\Development\GitHub\Breakout\source\\mainmenu.js
96019,17397,35934,129,0,1,12623,12624,42688,CODE,d:\Development\GitHub\Breakout\source\\phaser.js
35,1,2,1,0,13,8959,8972,32,CODE,d:\Development\GitHub\Breakout\source\\phaser.min.js
120,36,7,0,0,0,72,72,77,CODE,d:\Development\GitHub\Breakout\source\\preload.js
6,0,1,0,0,0,5,5,5,CODE,d:\Development\GitHub\Breakout\source\\savefile.js

                                          RESULTS SUMMARY                                          

Total,Blank,Comments,,Compiler,Data,Exec.,,File,SLOC
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,Type,Definition
99077,18119,36183,150,0,11,44764,44775,CODE,Physical
99077,18119,36183,150,0,14,23182,23196,CODE,Logical

Number of files successfully accessed,13,out of,13

Ratio of Physical to Logical SLOC,    1.93

                              TOTAL OCCURRENCES OF JavaScript KEYWORDS                              
Compiler Directives,,Data Keywords,,Executable Keywords
,,abstract,0,alert,1
,,boolean,0,arguments,190
,,byte,0,assign,0
,,char,0,break,241
,,class,0,case,186
,,double,0,catch,29
,,enum,0,close,0
,,float,0,comment,0
,,implements,0,constructor,312
,,instanceOf,0,continue,46
,,int,0,default,7
,,interface,0,debugger,0
,,long,0,delete,51
,,private,0,do,16
,,protected,0,else,1245
,,public,0,escape,0
,,short,0,eval,0
,,static,0,export,0
,,void,48,extends,12
,,,,false,1236
,,,,find,0
,,,,final,0
,,,,finally,1
,,,,focus,3
,,,,for,1214
,,,,function,5716
,,,,if,5180
,,,,import,0
,,,,label,0
,,,,length,1804
,,,,location,10
,,,,native,0
,,,,new,1466
,,,,null,2057
,,,,open,2
,,,,package,0
,,,,print,0
,,,,prompt,0
,,,,prototype,2680
,,,,ref,0
,,,,return,3805
,,,,self,24
,,,,status,6
,,,,stop,213
,,,,super,0
,,,,switch,44
,,,,synchronized,0
,,,,taint,0
,,,,this,29081
,,,,throw,68
,,,,throws,0
,,,,transient,0
,,,,true,1115
,,,,try,30
,,,,typeof,444
,,,,untaint,0
,,,,var,5272
,,,,watch,0
,,,,while,114
,,,,with,0
